customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent,recency,frequency,monetary,return_rate,avg_discount,category_diversity,ticket_count,avg_sentiment,avg_resolution_hours,sessions_30d,campaign_clicks_30d,email_opens_30d,last_visit_days_ago,snapshot_date,churn_next_60d,split
CUST00001,2024-04-24,Tier 1,18-24,Instagram,Silver,Makeup,Normal,Yes,107,6,2955.57,0.16666666666666666,0.36333333333333334,3,2.0,0.14,4.35,1,0,2,20,2025-09-30,1,train
CUST00002,2025-06-01,Tier 2,25-34,Marketplace,Silver,Hair Care,Combination,Yes,40,1,581.0,0.0,0.23,1,1.0,0.0,1.0,8,0,0,0,2025-09-30,0,train
CUST00003,2025-03-08,Tier 1,25-34,Influencer,Not Enrolled,Skin Care,Oily,Yes,171,1,649.98,0.0,0.47,1,0.0,0.0,0.0,1,0,0,26,2025-09-30,1,train
CUST00004,2025-04-15,Tier 3,25-34,Google Search,Not Enrolled,Fragrance,Normal,No,131,1,1604.04,0.0,0.16,1,0.0,0.0,0.0,1,0,0,14,2025-09-30,1,train
CUST00005,2024-08-21,Tier 3,35-44,Organic,Gold,Hair Care,Combination,Yes,38,4,2550.91,0.0,0.4425,2,1.0,-1.0,37.7,18,1,3,9,2025-09-30,0,train
CUST00006,2024-09-30,Tier 2,35-44,Instagram,Silver,Baby Care,Dry,Yes,51,5,3770.16,0.2,0.358,3,2.0,-0.68,17.6,2,0,0,1,2025-09-30,0,validation
CUST00007,2025-07-24,Tier 1,18-24,Organic,Not Enrolled,Fragrance,Sensitive,Yes,3,1,719.33,0.0,0.18,1,0.0,0.0,0.0,11,3,10,12,2025-09-30,0,train
CUST00008,2024-11-18,Tier 2,18-24,Organic,Silver,Skin Care,Dry,Yes,47,4,2747.33,0.0,0.2225,4,1.0,0.08,6.0,2,0,0,16,2025-09-30,0,validation
CUST00009,2025-08-20,Tier 1,25-34,Influencer,Not Enrolled,Skin Care,Oily,No,31,1,376.85,0.0,0.49,1,0.0,0.0,0.0,11,0,0,6,2025-09-30,0,train
CUST00010,2025-09-02,Tier 1,18-24,Influencer,Not Enrolled,Wellness,Oily,Yes,9,1,636.8,0.0,0.45,1,0.0,0.0,0.0,13,0,6,5,2025-09-30,0,train
CUST00011,2024-12-14,Tier 2,18-24,Referral,Gold,Fragrance,Sensitive,No,1,2,925.0699999999999,0.0,0.15500000000000003,2,0.0,0.0,0.0,10,0,0,0,2025-09-30,0,train
CUST00012,2024-11-01,Tier 2,35-44,Instagram,Not Enrolled,Skin Care,Normal,No,50,2,2051.63,0.0,0.29500000000000004,1,1.0,-0.12,18.7,3,0,0,5,2025-09-30,1,train
CUST00013,2025-01-06,Tier 3,35-44,Google Search,Not Enrolled,Fragrance,Oily,Yes,61,3,1754.44,0.0,0.23,2,1.0,-1.0,74.6,4,0,2,21,2025-09-30,0,train
CUST00014,2024-05-08,Tier 2,18-24,Referral,Not Enrolled,Fragrance,Combination,No,51,11,8130.16,0.0,0.2618181818181818,5,2.0,-0.245,8.25,11,0,0,17,2025-09-30,0,train
CUST00015,2024-11-15,Tier 2,25-34,Google Search,Gold,Hair Care,Dry,Yes,35,4,4200.93,0.0,0.3025,3,0.0,0.0,0.0,6,0,0,11,2025-09-30,0,train
CUST00016,2024-08-13,Tier 2,18-24,Instagram,Not Enrolled,Skin Care,Sensitive,Yes,215,1,478.02,0.0,0.22,1,1.0,0.37,6.4,2,1,4,32,2025-09-30,1,test
CUST00017,2024-05-15,Tier 3,35-44,Referral,Not Enrolled,Hair Care,Combination,Yes,286,3,1699.1399999999999,0.0,0.26666666666666666,3,0.0,0.0,0.0,4,4,9,47,2025-09-30,1,train
CUST00018,2025-04-23,Tier 1,35-44,Marketplace,Silver,Skin Care,Unknown,Yes,111,1,329.21,0.0,0.36,1,0.0,0.0,0.0,3,2,4,37,2025-09-30,1,test
CUST00019,2025-04-04,Tier 1,18-24,Referral,Gold,Skin Care,Normal,Yes,9,2,1598.93,0.0,0.105,1,0.0,0.0,0.0,5,1,3,0,2025-09-30,0,train
CUST00020,2024-04-05,Tier 3,45+,Instagram,Not Enrolled,Skin Care,Combination,No,368,3,4487.950000000001,0.0,0.13,3,1.0,-0.95,28.9,0,0,0,60,2025-09-30,1,train
CUST00021,2025-04-10,Tier 2,25-34,Marketplace,Silver,Makeup,Combination,Yes,77,2,1059.3,0.0,0.435,2,1.0,-0.85,20.1,3,0,2,18,2025-09-30,1,train
CUST00022,2025-07-09,Tier 1,18-24,Instagram,Not Enrolled,Wellness,Normal,Yes,29,1,454.06,0.0,0.31,1,0.0,0.0,0.0,10,1,4,0,2025-09-30,0,train
CUST00023,2025-09-01,Tier 3,18-24,Google Search,Gold,Baby Care,Normal,Yes,21,1,400.98,0.0,0.25,1,0.0,0.0,0.0,3,1,4,7,2025-09-30,0,train
CUST00024,2025-06-19,Tier 1,25-34,Marketplace,Not Enrolled,Skin Care,Dry,Yes,4,1,481.35,0.0,0.34,1,0.0,0.0,0.0,13,0,3,0,2025-09-30,0,test
