Threshold,FP,FN,Business Cost
0.1,136,4,88000
0.15000000000000002,110,7,90000
0.20000000000000004,90,10,95000
0.25000000000000006,72,15,111000
0.30000000000000004,57,19,123500
0.3500000000000001,50,24,145000
0.40000000000000013,42,24,141000
0.45000000000000007,31,31,170500
0.5000000000000001,27,35,188500
0.5500000000000002,24,41,217000
0.6000000000000002,20,47,245000
0.6500000000000001,18,52,269000
0.7000000000000002,12,55,281000
0.7500000000000002,8,64,324000
0.8000000000000002,5,70,352500
0.8500000000000002,5,79,397500
0.9000000000000002,4,98,492000
